mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
0.290246,	0.465389,	-2.219100,	-0.037960,	-0.097970,	79.404167,	2.000000
-0.976157,	0.465730,	-2.219100,	-0.037960,	-0.085970,	79.450000,	2.000000
-2.052071,	0.483675,	-2.219100,	-0.037960,	-0.073970,	79.541667,	2.000000
-2.183718,	0.523528,	-2.219100,	-0.037960,	-0.061970,	78.295833,	2.000000
-4.224657,	0.568304,	-2.219100,	-0.037960,	-0.049970,	76.902083,	2.000000
-5.117005,	0.685135,	-2.219100,	-0.037960,	-0.037970,	74.693750,	2.000000
-5.930397,	0.807532,	-2.219100,	-0.037960,	-0.025970,	70.735417,	2.000000
7.761506,	0.879275,	-2.219100,	-0.037960,	-0.013970,	69.975000,	2.000000
76.721966,	2.576685,	-1.719100,	-3.537960,	-0.133970,	51.835417,	2.000000
60.613585,	2.504930,	-1.719100,	-3.537960,	-0.121970,	53.518750,	2.000000
50.302337,	2.371491,	-1.719100,	-3.537960,	-0.109970,	55.162500,	2.000000
30.735174,	1.956008,	-1.719100,	-3.537960,	-0.097970,	57.554167,	2.000000
25.815583,	1.914037,	-1.719100,	-3.537960,	-0.085970,	59.702083,	2.000000
12.154337,	1.522323,	-1.719100,	-3.537960,	-0.073970,	62.400000,	2.000000
7.436309,	1.410909,	-1.719100,	-3.537960,	-0.061970,	65.662500,	2.000000
2.733111,	1.438716,	-1.719100,	-3.537960,	-0.049970,	68.785417,	2.000000
0.814925,	1.083748,	-1.719100,	-3.537960,	-0.037970,	72.972917,	2.000000
0.728378,	0.824282,	-1.719100,	-3.537960,	-0.025970,	77.802083,	2.000000
1.417524,	0.507652,	-1.719100,	-3.537960,	-0.013970,	76.225000,	3.000000
78.161779,	2.516037,	-1.719100,	-3.187960,	-0.133970,	51.341667,	2.000000
64.902562,	2.363391,	-1.719100,	-3.187960,	-0.121970,	53.400000,	2.000000
49.342812,	2.119549,	-1.719100,	-3.187960,	-0.109970,	55.366667,	2.000000
38.095085,	2.227035,	-1.719100,	-3.187960,	-0.097970,	57.456250,	2.000000
23.330348,	2.591442,	-1.719100,	-3.187960,	-0.085970,	59.791667,	2.000000
17.338032,	1.750601,	-1.719100,	-3.187960,	-0.073970,	62.243750,	2.000000
7.340278,	1.267892,	-1.719100,	-3.187960,	-0.061970,	65.487500,	2.000000
4.100518,	1.214809,	-1.719100,	-3.187960,	-0.049970,	68.647917,	2.000000
2.690543,	1.192324,	-1.719100,	-3.187960,	-0.037970,	73.016667,	2.000000
0.228552,	0.630450,	-1.719100,	-3.187960,	-0.025970,	77.683333,	2.000000
1.668862,	0.460332,	-1.719100,	-3.187960,	-0.013970,	79.831250,	2.500000
82.187096,	2.409096,	-1.719100,	-2.837960,	-0.133970,	50.841667,	2.000000
75.240143,	2.578340,	-1.719100,	-2.837960,	-0.121970,	53.087500,	2.000000
56.682509,	2.272314,	-1.719100,	-2.837960,	-0.109970,	54.733333,	2.000000
38.862859,	1.890106,	-1.719100,	-2.837960,	-0.097970,	57.135417,	2.000000
27.914576,	1.731779,	-1.719100,	-2.837960,	-0.085970,	59.475000,	2.000000
19.558941,	1.539186,	-1.719100,	-2.837960,	-0.073970,	62.010417,	2.000000
15.843506,	1.526180,	-1.719100,	-2.837960,	-0.061970,	65.327083,	2.000000
5.846689,	1.087888,	-1.719100,	-2.837960,	-0.049970,	68.393750,	2.000000
3.772816,	1.005656,	-1.719100,	-2.837960,	-0.037970,	72.745833,	2.000000
2.151275,	0.676674,	-1.719100,	-2.837960,	-0.025970,	77.379167,	2.000000
1.888190,	0.406397,	-1.719100,	-2.837960,	-0.013970,	76.085417,	3.000000
94.039924,	2.423176,	-1.719100,	-2.487960,	-0.133970,	50.620833,	2.000000
75.787541,	2.277167,	-1.719100,	-2.487960,	-0.121970,	52.854167,	2.000000
62.505066,	2.442098,	-1.719100,	-2.487960,	-0.109970,	54.993750,	2.000000
